bucket,season,variable,pair,metric,n_windows,share_favorable,delta_mean,delta_ci_lo,delta_ci_hi
season,DJF,mslp,GraphCast_minus_HRES,acc_mean,4,0.5,0.04578800377482867,0.04482987102000613,0.046746136529651205
season,DJF,mslp,GraphCast_minus_HRES,rmse_mean,4,0.5,-60.707930203877254,-66.30394087777103,-55.11191952998348
season,DJF,mslp,NeuralGCM_minus_HRES,acc_mean,4,0.0,,,
season,DJF,mslp,NeuralGCM_minus_HRES,rmse_mean,4,0.0,,,
season,DJF,t850,GraphCast_minus_HRES,acc_mean,4,0.5,0.04795704101317605,0.0432818457802393,0.052632236246112796
season,DJF,t850,GraphCast_minus_HRES,rmse_mean,4,0.5,-0.3655481209723277,-0.42285221208484325,-0.30824402985981214
season,DJF,t850,NeuralGCM_minus_HRES,acc_mean,4,0.5,0.026183117845431814,0.00952290466070782,0.04284333103015581
season,DJF,t850,NeuralGCM_minus_HRES,rmse_mean,4,0.5,-0.3681738146317248,-0.46012558049043895,-0.2762220487730107
season,DJF,u850,GraphCast_minus_HRES,acc_mean,4,0.5,0.07904679480727933,0.07380276148697873,0.08429082812757993
season,DJF,u850,GraphCast_minus_HRES,rmse_mean,4,0.5,-0.6933060000551379,-0.6987993010072744,-0.6878126991030014
season,DJF,u850,NeuralGCM_minus_HRES,acc_mean,4,0.5,0.05946235498588398,0.05522446438100492,0.06370024559076304
season,DJF,u850,NeuralGCM_minus_HRES,rmse_mean,4,0.5,-0.5938996229157496,-0.6562044373041935,-0.5315948085273057
season,DJF,v850,GraphCast_minus_HRES,acc_mean,4,0.5,0.07896074860170255,0.07822451733994285,0.07969697986346225
season,DJF,v850,GraphCast_minus_HRES,rmse_mean,4,0.5,-0.681872282786685,-0.7063922670095035,-0.6573522985638665
season,DJF,v850,NeuralGCM_minus_HRES,acc_mean,4,0.5,0.06717111320374702,0.06534451317388223,0.06899771323361181
season,DJF,v850,NeuralGCM_minus_HRES,rmse_mean,4,0.5,-0.57103612136682,-0.6695198156610456,-0.4725524270725945
season,DJF,z500,GraphCast_minus_HRES,acc_mean,4,0.5,0.03558018542407004,0.03556896480528571,0.03559140604285438
season,DJF,z500,GraphCast_minus_HRES,rmse_mean,4,0.5,-61.082495191404206,-70.02840246968589,-52.136587913122526
season,DJF,z500,NeuralGCM_minus_HRES,acc_mean,4,0.5,0.030931932897656778,0.030691100992587872,0.031172764802725683
season,DJF,z500,NeuralGCM_minus_HRES,rmse_mean,4,0.5,-72.2930577632097,-93.66948218782682,-50.91663333859259
season,JJA,mslp,GraphCast_minus_HRES,acc_mean,5,0.2,0.029461012646535,0.029461012646535,0.029461012646535
season,JJA,mslp,GraphCast_minus_HRES,rmse_mean,5,0.2,-39.51196504473114,-39.51196504473114,-39.51196504473114
season,JJA,mslp,NeuralGCM_minus_HRES,acc_mean,5,0.0,,,
season,JJA,mslp,NeuralGCM_minus_HRES,rmse_mean,5,0.0,,,
season,JJA,t850,GraphCast_minus_HRES,acc_mean,5,0.2,0.062477835960092376,0.062477835960092376,0.062477835960092376
season,JJA,t850,GraphCast_minus_HRES,rmse_mean,5,0.2,-0.316200033128085,-0.316200033128085,-0.316200033128085
season,JJA,t850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.055091637887683564,0.055091637887683564,0.055091637887683564
season,JJA,t850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.27574995022011084,-0.27574995022011084,-0.27574995022011084
season,JJA,u850,GraphCast_minus_HRES,acc_mean,5,0.2,0.06425615204163493,0.06425615204163493,0.06425615204163493
season,JJA,u850,GraphCast_minus_HRES,rmse_mean,5,0.2,-0.5943098316655684,-0.5943098316655684,-0.5943098316655684
season,JJA,u850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.053427481946055955,0.053427481946055955,0.053427481946055955
season,JJA,u850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.42023674475346784,-0.42023674475346784,-0.42023674475346784
season,JJA,v850,GraphCast_minus_HRES,acc_mean,5,0.2,0.06972589568478926,0.06972589568478926,0.06972589568478926
season,JJA,v850,GraphCast_minus_HRES,rmse_mean,5,0.2,-0.6263843366913928,-0.6263843366913928,-0.6263843366913928
season,JJA,v850,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.06279434166810416,0.06279434166810416,0.06279434166810416
season,JJA,v850,NeuralGCM_minus_HRES,rmse_mean,5,0.2,-0.4518966800135882,-0.4518966800135882,-0.4518966800135882
season,JJA,z500,GraphCast_minus_HRES,acc_mean,5,0.2,0.033682332477008026,0.033682332477008026,0.033682332477008026
season,JJA,z500,GraphCast_minus_HRES,rmse_mean,5,0.2,-47.59423111402111,-47.59423111402111,-47.59423111402111
season,JJA,z500,NeuralGCM_minus_HRES,acc_mean,5,0.2,0.037136809757559175,0.037136809757559175,0.037136809757559175
