tag,bucket,season,min_fraction,max_fraction,n_regimes
2018,year,ALL,0.15821917808219177,0.3150684931506849,4
2019,year,ALL,0.20136986301369864,0.3493150684931507,4
2020,year,ALL,0.20969945355191258,0.28415300546448086,4
2021,year,ALL,0.19726027397260273,0.37397260273972605,4
2022,year,ALL,0.18356164383561643,0.32945205479452055,4
DJF_2019,season,DJF,0.15,0.3194444444444444,4
DJF_2020,season,DJF,0.17582417582417584,0.3516483516483517,4
DJF_2021,season,DJF,0.17222222222222222,0.3638888888888889,4
DJF_2022,season,DJF,0.16111111111111112,0.41944444444444445,4
JJA_2018,season,JJA,0.16576086956521738,0.3179347826086957,4
JJA_2019,season,JJA,0.20652173913043478,0.30434782608695654,4
JJA_2020,season,JJA,0.19293478260869565,0.3233695652173913,4
JJA_2021,season,JJA,0.18478260869565216,0.30978260869565216,4
JJA_2022,season,JJA,0.1766304347826087,0.38858695652173914,4
MAM_2018,season,MAM,0.12228260869565218,0.3233695652173913,4
MAM_2019,season,MAM,0.13043478260869565,0.3451086956521739,4
MAM_2020,season,MAM,0.17391304347826086,0.3070652173913043,4
MAM_2021,season,MAM,0.16847826086956522,0.3532608695652174,4
MAM_2022,season,MAM,0.07880434782608696,0.49728260869565216,4
SON_2018,season,SON,0.15384615384615385,0.3983516483516483,4
SON_2019,season,SON,0.2032967032967033,0.28296703296703296,4
SON_2020,season,SON,0.1978021978021978,0.2857142857142857,4
SON_2021,season,SON,0.1620879120879121,0.33516483516483514,4
SON_2022,season,SON,0.19230769230769232,0.3131868131868132,4
