hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
31,0,0,149,1.0,0.0,1.0,1.0,31,31,2020-01-01_2020-03-31,HRES,1 days,EuroAtlantic
29,0,2,149,1.0,0.06451612903225806,0.9354838709677419,1.0689655172413792,29,31,2020-01-01_2020-03-31,HRES,1 days,Pacific
30,1,4,141,0.967741935483871,0.11764705882352941,0.8571428571428571,1.096774193548387,31,34,2020-01-01_2020-03-31,HRES,3 days,EuroAtlantic
26,3,2,145,0.896551724137931,0.07142857142857142,0.8387096774193549,0.9655172413793104,29,28,2020-01-01_2020-03-31,HRES,3 days,Pacific
27,4,3,138,0.8709677419354839,0.1,0.7941176470588235,0.967741935483871,31,30,2020-01-01_2020-03-31,HRES,5 days,EuroAtlantic
21,8,7,136,0.7241379310344828,0.25,0.5833333333333334,0.9655172413793104,29,28,2020-01-01_2020-03-31,HRES,5 days,Pacific
24,7,2,135,0.7741935483870968,0.07692307692307693,0.7272727272727273,0.8387096774193549,31,26,2020-01-01_2020-03-31,HRES,7 days,EuroAtlantic
20,9,7,132,0.6896551724137931,0.25925925925925924,0.5555555555555556,0.9310344827586207,29,27,2020-01-01_2020-03-31,HRES,7 days,Pacific
31,0,2,147,1.0,0.06060606060606061,0.9393939393939394,1.064516129032258,31,33,2020-01-01_2020-03-31,GraphCast,1 days,EuroAtlantic
29,0,1,150,1.0,0.03333333333333333,0.9666666666666667,1.0344827586206897,29,30,2020-01-01_2020-03-31,GraphCast,1 days,Pacific
31,0,3,142,1.0,0.08823529411764706,0.9117647058823529,1.096774193548387,31,34,2020-01-01_2020-03-31,GraphCast,3 days,EuroAtlantic
28,1,1,146,0.9655172413793104,0.034482758620689655,0.9333333333333333,1.0,29,29,2020-01-01_2020-03-31,GraphCast,3 days,Pacific
30,1,0,141,0.967741935483871,0.0,0.967741935483871,0.967741935483871,31,30,2020-01-01_2020-03-31,GraphCast,5 days,EuroAtlantic
24,5,1,142,0.8275862068965517,0.04,0.8,0.8620689655172413,29,25,2020-01-01_2020-03-31,GraphCast,5 days,Pacific
23,8,3,134,0.7419354838709677,0.11538461538461539,0.6764705882352942,0.8387096774193549,31,26,2020-01-01_2020-03-31,GraphCast,7 days,EuroAtlantic
10,19,7,132,0.3448275862068966,0.4117647058823529,0.2777777777777778,0.5862068965517241,29,17,2020-01-01_2020-03-31,GraphCast,7 days,Pacific
31,0,2,147,1.0,0.06060606060606061,0.9393939393939394,1.064516129032258,31,33,2020-01-01_2020-03-31,NeuralGCM,1 days,EuroAtlantic
29,0,0,151,1.0,0.0,1.0,1.0,29,29,2020-01-01_2020-03-31,NeuralGCM,1 days,Pacific
29,2,1,144,0.9354838709677419,0.03333333333333333,0.90625,0.967741935483871,31,30,2020-01-01_2020-03-31,NeuralGCM,3 days,EuroAtlantic
28,1,3,144,0.9655172413793104,0.0967741935483871,0.875,1.0689655172413792,29,31,2020-01-01_2020-03-31,NeuralGCM,3 days,Pacific
28,3,2,139,0.9032258064516129,0.06666666666666667,0.8484848484848485,0.967741935483871,31,30,2020-01-01_2020-03-31,NeuralGCM,5 days,EuroAtlantic
21,8,2,141,0.7241379310344828,0.08695652173913043,0.6774193548387096,0.7931034482758621,29,23,2020-01-01_2020-03-31,NeuralGCM,5 days,Pacific
23,8,5,132,0.7419354838709677,0.17857142857142858,0.6388888888888888,0.9032258064516129,31,28,2020-01-01_2020-03-31,NeuralGCM,7 days,EuroAtlantic
18,11,11,128,0.6206896551724138,0.3793103448275862,0.45,1.0,29,29,2020-01-01_2020-03-31,NeuralGCM,7 days,Pacific
