window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2020-01-01_2020-03-31,HRES,1 days,49.53049708432545,49.82103354428587,53,127
2020-01-01_2020-03-31,HRES,3 days,140.356086555988,136.71473087145935,53,123
2020-01-01_2020-03-31,HRES,5 days,316.84779729753944,295.1932807337712,53,119
2020-01-01_2020-03-31,HRES,7 days,538.7549623736386,506.0118756495358,53,115
2020-01-01_2020-03-31,GraphCast,1 days,39.72537379998545,39.47563291586225,53,127
2020-01-01_2020-03-31,GraphCast,3 days,122.89322351204358,121.71251672176295,53,123
2020-01-01_2020-03-31,GraphCast,5 days,271.856057384225,268.46827872489166,53,119
2020-01-01_2020-03-31,GraphCast,7 days,485.5912955538556,459.51449701040235,53,115
2020-01-01_2020-03-31,NeuralGCM,1 days,37.71666417313528,37.557958395507356,53,127
2020-01-01_2020-03-31,NeuralGCM,3 days,114.14286834034293,112.69899729214059,53,123
2020-01-01_2020-03-31,NeuralGCM,5 days,264.09029758634404,257.26431547830305,53,119
2020-01-01_2020-03-31,NeuralGCM,7 days,466.43770228820335,455.18372917032326,53,115
