window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2020-01-01_2020-03-31,HRES,1 days,0.02,92,0.5111111111111111
2020-01-01_2020-03-31,HRES,1 days,0.05,78,0.43333333333333335
2020-01-01_2020-03-31,HRES,1 days,0.1,53,0.29444444444444445
2020-01-01_2020-03-31,HRES,1 days,0.2,23,0.12777777777777777
2020-01-01_2020-03-31,HRES,1 days,0.5,0,0.0
2020-01-01_2020-03-31,HRES,3 days,0.02,92,0.5227272727272727
2020-01-01_2020-03-31,HRES,3 days,0.05,78,0.4431818181818182
2020-01-01_2020-03-31,HRES,3 days,0.1,53,0.30113636363636365
2020-01-01_2020-03-31,HRES,3 days,0.2,23,0.13068181818181818
2020-01-01_2020-03-31,HRES,3 days,0.5,0,0.0
2020-01-01_2020-03-31,HRES,5 days,0.02,91,0.5290697674418605
2020-01-01_2020-03-31,HRES,5 days,0.05,78,0.45348837209302323
2020-01-01_2020-03-31,HRES,5 days,0.1,53,0.3081395348837209
2020-01-01_2020-03-31,HRES,5 days,0.2,23,0.13372093023255813
2020-01-01_2020-03-31,HRES,5 days,0.5,0,0.0
2020-01-01_2020-03-31,HRES,7 days,0.02,87,0.5178571428571429
2020-01-01_2020-03-31,HRES,7 days,0.05,74,0.44047619047619047
2020-01-01_2020-03-31,HRES,7 days,0.1,53,0.31547619047619047
2020-01-01_2020-03-31,HRES,7 days,0.2,23,0.13690476190476192
2020-01-01_2020-03-31,HRES,7 days,0.5,0,0.0
2020-01-01_2020-03-31,GraphCast,1 days,0.02,92,0.5111111111111111
2020-01-01_2020-03-31,GraphCast,1 days,0.05,78,0.43333333333333335
2020-01-01_2020-03-31,GraphCast,1 days,0.1,53,0.29444444444444445
2020-01-01_2020-03-31,GraphCast,1 days,0.2,23,0.12777777777777777
2020-01-01_2020-03-31,GraphCast,1 days,0.5,0,0.0
2020-01-01_2020-03-31,GraphCast,3 days,0.02,92,0.5227272727272727
2020-01-01_2020-03-31,GraphCast,3 days,0.05,78,0.4431818181818182
2020-01-01_2020-03-31,GraphCast,3 days,0.1,53,0.30113636363636365
2020-01-01_2020-03-31,GraphCast,3 days,0.2,23,0.13068181818181818
2020-01-01_2020-03-31,GraphCast,3 days,0.5,0,0.0
2020-01-01_2020-03-31,GraphCast,5 days,0.02,91,0.5290697674418605
2020-01-01_2020-03-31,GraphCast,5 days,0.05,78,0.45348837209302323
2020-01-01_2020-03-31,GraphCast,5 days,0.1,53,0.3081395348837209
2020-01-01_2020-03-31,GraphCast,5 days,0.2,23,0.13372093023255813
2020-01-01_2020-03-31,GraphCast,5 days,0.5,0,0.0
2020-01-01_2020-03-31,GraphCast,7 days,0.02,87,0.5178571428571429
2020-01-01_2020-03-31,GraphCast,7 days,0.05,74,0.44047619047619047
2020-01-01_2020-03-31,GraphCast,7 days,0.1,53,0.31547619047619047
2020-01-01_2020-03-31,GraphCast,7 days,0.2,23,0.13690476190476192
2020-01-01_2020-03-31,GraphCast,7 days,0.5,0,0.0
2020-01-01_2020-03-31,NeuralGCM,1 days,0.02,92,0.5111111111111111
2020-01-01_2020-03-31,NeuralGCM,1 days,0.05,78,0.43333333333333335
2020-01-01_2020-03-31,NeuralGCM,1 days,0.1,53,0.29444444444444445
2020-01-01_2020-03-31,NeuralGCM,1 days,0.2,23,0.12777777777777777
2020-01-01_2020-03-31,NeuralGCM,1 days,0.5,0,0.0
2020-01-01_2020-03-31,NeuralGCM,3 days,0.02,92,0.5227272727272727
2020-01-01_2020-03-31,NeuralGCM,3 days,0.05,78,0.4431818181818182
2020-01-01_2020-03-31,NeuralGCM,3 days,0.1,53,0.30113636363636365
2020-01-01_2020-03-31,NeuralGCM,3 days,0.2,23,0.13068181818181818
2020-01-01_2020-03-31,NeuralGCM,3 days,0.5,0,0.0
2020-01-01_2020-03-31,NeuralGCM,5 days,0.02,91,0.5290697674418605
2020-01-01_2020-03-31,NeuralGCM,5 days,0.05,78,0.45348837209302323
2020-01-01_2020-03-31,NeuralGCM,5 days,0.1,53,0.3081395348837209
2020-01-01_2020-03-31,NeuralGCM,5 days,0.2,23,0.13372093023255813
2020-01-01_2020-03-31,NeuralGCM,5 days,0.5,0,0.0
2020-01-01_2020-03-31,NeuralGCM,7 days,0.02,87,0.5178571428571429
2020-01-01_2020-03-31,NeuralGCM,7 days,0.05,74,0.44047619047619047
2020-01-01_2020-03-31,NeuralGCM,7 days,0.1,53,0.31547619047619047
2020-01-01_2020-03-31,NeuralGCM,7 days,0.2,23,0.13690476190476192
2020-01-01_2020-03-31,NeuralGCM,7 days,0.5,0,0.0
