window,model,lead,div_rmse_mean,vort_rmse_mean
2020-01-01_2020-03-31,HRES,1 days,6.152111159533456e-06,9.917293401486324e-06
2020-01-01_2020-03-31,HRES,3 days,8.140718321081641e-06,1.732715614563836e-05
2020-01-01_2020-03-31,HRES,5 days,9.511618634480097e-06,2.3544978481388877e-05
2020-01-01_2020-03-31,HRES,7 days,1.0475549493058545e-05,2.7745861436759578e-05
2020-01-01_2020-03-31,GraphCast,1 days,4.690172321712434e-06,7.4346702041670985e-06
2020-01-01_2020-03-31,GraphCast,3 days,6.494160965315928e-06,1.4005735074478433e-05
2020-01-01_2020-03-31,GraphCast,5 days,7.792060060029855e-06,1.9556984566336883e-05
2020-01-01_2020-03-31,GraphCast,7 days,8.825603908287914e-06,2.3643589357501353e-05
2020-01-01_2020-03-31,NeuralGCM,1 days,5.0792607235400264e-06,7.854503992270721e-06
2020-01-01_2020-03-31,NeuralGCM,3 days,6.861200128290962e-06,1.4669774649010471e-05
2020-01-01_2020-03-31,NeuralGCM,5 days,8.226447797874833e-06,2.077472734514964e-05
2020-01-01_2020-03-31,NeuralGCM,7 days,9.247609280114947e-06,2.5356528009020132e-05
