window,variable,model,dataset,status,message
2020-01-01_2020-03-31,z500,HRES,hres_0012_240,ok,
2020-01-01_2020-03-31,z500,GraphCast,graphcast_2020_240,ok,
2020-01-01_2020-03-31,z500,NeuralGCM,neuralgcm_det_2020_240,ok,
2020-01-01_2020-03-31,t850,HRES,hres_0012_240,ok,
2020-01-01_2020-03-31,t850,GraphCast,graphcast_2020_240,ok,
2020-01-01_2020-03-31,t850,NeuralGCM,neuralgcm_det_2020_240,ok,
2020-01-01_2020-03-31,u850,HRES,hres_0012_240,ok,
2020-01-01_2020-03-31,u850,GraphCast,graphcast_2020_240,ok,
2020-01-01_2020-03-31,u850,NeuralGCM,neuralgcm_det_2020_240,ok,
2020-01-01_2020-03-31,v850,HRES,hres_0012_240,ok,
2020-01-01_2020-03-31,v850,GraphCast,graphcast_2020_240,ok,
2020-01-01_2020-03-31,v850,NeuralGCM,neuralgcm_det_2020_240,ok,
