window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2020-01-01_2020-03-31,6,3,0,107,0.29395604395604397,0.526147186756134
2020-01-01_2020-03-31,6,3,1,126,0.34615384615384615,0.526147186756134
2020-01-01_2020-03-31,6,3,2,131,0.3598901098901099,0.526147186756134
2020-01-01_2020-03-31,6,4,0,130,0.35714285714285715,0.526147186756134
2020-01-01_2020-03-31,6,4,1,107,0.29395604395604397,0.526147186756134
2020-01-01_2020-03-31,6,4,2,82,0.22527472527472528,0.526147186756134
2020-01-01_2020-03-31,6,4,3,45,0.12362637362637363,0.526147186756134
2020-01-01_2020-03-31,6,5,0,43,0.11813186813186813,0.526147186756134
2020-01-01_2020-03-31,6,5,1,75,0.20604395604395603,0.526147186756134
2020-01-01_2020-03-31,6,5,2,107,0.29395604395604397,0.526147186756134
2020-01-01_2020-03-31,6,5,3,74,0.2032967032967033,0.526147186756134
2020-01-01_2020-03-31,6,5,4,65,0.17857142857142858,0.526147186756134
2020-01-01_2020-03-31,8,3,0,125,0.3434065934065934,0.5956294536590576
2020-01-01_2020-03-31,8,3,1,108,0.2967032967032967,0.5956294536590576
2020-01-01_2020-03-31,8,3,2,131,0.3598901098901099,0.5956294536590576
2020-01-01_2020-03-31,8,4,0,84,0.23076923076923078,0.5956294536590576
2020-01-01_2020-03-31,8,4,1,43,0.11813186813186813,0.5956294536590576
2020-01-01_2020-03-31,8,4,2,129,0.3543956043956044,0.5956294536590576
2020-01-01_2020-03-31,8,4,3,108,0.2967032967032967,0.5956294536590576
2020-01-01_2020-03-31,8,5,0,85,0.23351648351648352,0.5956294536590576
2020-01-01_2020-03-31,8,5,1,129,0.3543956043956044,0.5956294536590576
2020-01-01_2020-03-31,8,5,2,88,0.24175824175824176,0.5956294536590576
2020-01-01_2020-03-31,8,5,3,43,0.11813186813186813,0.5956294536590576
2020-01-01_2020-03-31,8,5,4,19,0.0521978021978022,0.5956294536590576
2020-01-01_2020-03-31,10,3,0,124,0.34065934065934067,0.6535465717315674
2020-01-01_2020-03-31,10,3,1,132,0.3626373626373626,0.6535465717315674
2020-01-01_2020-03-31,10,3,2,108,0.2967032967032967,0.6535465717315674
2020-01-01_2020-03-31,10,4,0,43,0.11813186813186813,0.6535465717315674
2020-01-01_2020-03-31,10,4,1,108,0.2967032967032967,0.6535465717315674
2020-01-01_2020-03-31,10,4,2,129,0.3543956043956044,0.6535465717315674
2020-01-01_2020-03-31,10,4,3,84,0.23076923076923078,0.6535465717315674
2020-01-01_2020-03-31,10,5,0,18,0.04945054945054945,0.6535465717315674
2020-01-01_2020-03-31,10,5,1,43,0.11813186813186813,0.6535465717315674
2020-01-01_2020-03-31,10,5,2,90,0.24725274725274726,0.6535465717315674
2020-01-01_2020-03-31,10,5,3,128,0.3516483516483517,0.6535465717315674
2020-01-01_2020-03-31,10,5,4,85,0.23351648351648352,0.6535465717315674
2020-01-01_2020-03-31,12,3,0,108,0.2967032967032967,0.6995797753334045
2020-01-01_2020-03-31,12,3,1,132,0.3626373626373626,0.6995797753334045
2020-01-01_2020-03-31,12,3,2,124,0.34065934065934067,0.6995797753334045
2020-01-01_2020-03-31,12,4,0,43,0.11813186813186813,0.6995797753334045
2020-01-01_2020-03-31,12,4,1,107,0.29395604395604397,0.6995797753334045
2020-01-01_2020-03-31,12,4,2,132,0.3626373626373626,0.6995797753334045
2020-01-01_2020-03-31,12,4,3,82,0.22527472527472528,0.6995797753334045
2020-01-01_2020-03-31,12,5,0,83,0.22802197802197802,0.6995797753334045
2020-01-01_2020-03-31,12,5,1,18,0.04945054945054945,0.6995797753334045
2020-01-01_2020-03-31,12,5,2,131,0.3598901098901099,0.6995797753334045
2020-01-01_2020-03-31,12,5,3,43,0.11813186813186813,0.6995797753334045
2020-01-01_2020-03-31,12,5,4,89,0.2445054945054945,0.6995797753334045
